Date,Adj Close,Open,High,Low,Last,Close,Average Price,Volume,Turnover,No. of Trades
2017-03-06,1031.2,1020.05,1035.95,1019.7,1033,1033.9,1030.4,2643193,2723532993,71674
2017-03-07,1033.9,1022,1025.8,1014.7,1018.8,1019.8,1020.25,2322248,2369267970,74091
2017-03-08,1019.8,1016.9,1016.9,1004.45,1008.15,1007.8,1009.02,3089588,3117465750,65695
2017-03-09,1007.8,1007.8,1013,999,1011.2,1011.55,1007.88,1740315,1754027663,80001
2017-03-10,1011.55,1015,1027.65,1013.4,1021.5,1021.85,1021.75,2275162,2324657633,66765
2017-03-14,1021.85,1022.8,1041.9,1022.8,1035.3,1034.8,1034.12,3939198,4073612175,93944
2017-03-15,1034.8,1034.9,1034.9,1007.5,1011.2,1011.95,1013.81,3186989,3230988617,135842
2017-03-16,1011.95,1013.3,1031.7,1013.3,1029,1028.85,1024.89,3351478,3434894916,91634
2017-03-17,1028.85,1035.4,1042.9,1019.25,1039,1040.3,1034.03,4753923,4915686887,132876
2017-03-20,1040.3,1026.55,1026.55,1015.1,1020.3,1021.5,1020.31,2213694,2258652533,85988
2017-03-21,1021.5,1020.9,1034.95,1018.8,1028.8,1032.85,1029,2434792,2505412044,61479
2017-03-22,1032.85,1022.45,1039.95,1020.4,1027.5,1027.7,1028.79,1995426,2052872403,69882
2017-03-23,1027.7,1028.25,1043,1026.6,1040.25,1040.45,1038.53,2250831,2337555355,70900
2017-03-24,1040.45,1038,1044,1027.7,1028.1,1031.4,1033.26,2441948,2523166659,75313
2017-03-27,1031.4,1027.2,1041.85,1024.5,1035,1028.85,1032.85,3842412,3968617436,118204
2017-03-28,1028.85,1031.5,1039,1030.05,1038.95,1035.15,1035.21,2398398,2482850262,69503
2017-03-29,1035.15,1034.3,1041.5,1025.85,1033.8,1031.85,1032.47,3490593,3603938737,60565
2017-03-30,1031.85,1034,1035.9,1020.25,1023,1025.5,1026.08,6078590,6237092368,94441
2017-03-31,1025.5,1023.25,1029.3,1008,1022.5,1022.25,1019.49,7076927,7214831803,96201
2017-04-03,1022.25,1032.15,1032.45,1006.1,1010.3,1008.8,1010.88,2157800,2181287096,66898
2017-04-05,1008.8,1005,1005.4,991,995.2,995.95,997.87,3699169,3691274935,155256
2017-04-06,995.95,998.15,1005.8,992,997.45,999.6,1000.46,2689504,2690729251,80666
2017-04-07,999.6,1000.9,1000.9,979,982.6,981.55,985.56,3202254,3156004780,97036
2017-04-10,981.55,984.9,989.5,950.1,951.05,953.4,965.01,4764236,4597514332,94190
2017-04-11,953.4,956.05,971.7,956.05,968,967.15,966.2,4327733,4181469033,104526
2017-04-12,967.15,970,976.9,960.35,967.85,968.85,969.16,3348376,3245103251,86217
2017-04-13,968.85,970,990,926.65,932.9,931.4,942.95,15486594,14603160521,368460
2017-04-17,931.4,930,932.1,923.5,924.75,924.9,926.27,3606717,3340781677,110168
2017-04-18,924.9,924.75,934,919.1,923.05,922.65,925.65,2323759,2150985535,77903
2017-04-19,922.65,923,930,912.65,919.4,919.2,917.13,5035851,4618541692,123370
2017-04-20,919.2,921.5,929.7,918.55,928.15,927.3,924.5,2274500,2102780031,104880
2017-04-21,927.3,934.8,934.8,921.1,922.5,923.7,925.43,1788733,1655346159,62461
2017-04-24,923.7,917.5,928.5,913,927,926.55,919.84,2778333,2555623447,78246
2017-04-25,926.55,925.9,933,920.55,929.6,929.35,929.27,2368530,2200992057,104070
2017-04-26,929.35,929.95,935.55,910.2,914.15,914.25,916.98,4542248,4165168442,125006
2017-04-27,914.25,916,929,916,927.2,925.25,923.8,3898604,3601521629,113696
2017-04-28,925.25,926.85,927.4,915.6,921,918.95,919.78,2514851,2313115919,79880
2017-05-02,918.95,924,926.4,915.1,923.15,922.6,921.65,1615563,1488984260,85885
2017-05-03,922.6,926.5,939.1,917.65,934,934.3,932.19,2329724,2171737625,74214
2017-05-04,934.3,937,939.65,928.9,936,937.65,935.94,2639903,2470785901,104986
2017-05-05,937.65,936,937.35,920,930,931.5,927.04,2216394,2054687486,108343
2017-05-08,931.5,938,948.55,932,943.1,945.5,940.67,2353549,2213917286,99288
2017-05-09,945.5,950.6,951.95,942.1,946.95,946.65,947.01,2824686,2675013934,97850
2017-05-10,946.65,947.15,950,937.15,945.3,943.65,943.23,1682151,1586652710,54391
2017-05-11,943.65,946.85,949.85,937.55,944.05,944.1,945.45,1614741,1526662167,67623
2017-05-12,944.1,953,966,951.45,965.45,964.25,959.75,5489998,5269035238,111297
2017-05-15,964.25,963.5,963.5,949.1,953.25,951.55,951.49,3648582,3471579745,75335
2017-05-16,951.55,953.1,960.15,946.95,956,955,952.92,3065084,2920775219,71808
2017-05-17,955,951.6,958.45,943.85,952.9,952.8,949.48,1457754,1384109512,75429
2017-05-18,952.8,943,973.9,942.85,960.25,961.75,962.61,4028924,3878281748,120990
2017-05-19,961.75,961.5,962.7,947.85,957.4,957.95,954.18,2128698,2031155370,88897
2017-05-22,957.95,958.4,966.9,956.55,960,961.45,962.29,2751526,2647754820,99616
2017-05-23,961.45,964.65,967,954.1,957.5,957.3,960.16,2019991,1939514665,80122
2017-05-24,957.3,960,965.5,949.6,957,954.8,958.37,2818143,2700826858,56898
2017-05-25,954.8,961,986.6,961,981,983.3,978.16,5219257,5105249719,76160
2017-05-26,983.3,987,1000,980.6,996.05,995.7,994.06,2494002,2479193882,63671
2017-05-29,995.7,990.9,996.7,975.7,986,985.15,983.11,3154217,3100929032,83084
2017-05-30,985.15,982,1000,978.65,993,996.2,995.45,1858455,1850003638,62012
